 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1981                                        
 Date:  21. 3.    Time:  15:17:51
 Units: L = cm   , T = days , M = mmol 


 Time:      61.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  47   -49.00     -64.093 0.4204   0.8181E-01  0.7382E-03 -0.1699E-01  0.0000E+00  -1   0     17.0813  0.029894  0.1833E-03
  46   -50.50     -62.926 0.4212   0.8456E-01  0.7493E-03 -0.2054E-01  0.0000E+00  -1   0     17.0189  0.029895  0.1559E-03
  45   -52.00     -61.822 0.4220   0.8716E-01  0.7597E-03 -0.2536E-01  0.0000E+00  -1   0     16.9596  0.029753  0.1326E-03
  44   -54.00     -60.438 0.4230   0.9042E-01  0.7728E-03 -0.2999E-01  0.0000E+00  -1   0     16.8848  0.029370  0.1070E-03
  43   -56.00     -59.147 0.4239   0.9346E-01  0.7851E-03 -0.3509E-01  0.0000E+00  -1   0     16.8142  0.028804  0.8629E-04
  42   -58.00     -57.934 0.4249   0.9775E-01  0.7992E-03 -0.4050E-01  0.0000E+00  -1   0     16.7471  0.028093  0.6962E-04
  41   -60.00     -56.799 0.4259   0.1030E+00  0.8145E-03 -0.4618E-01  0.0000E+00  -1   0     16.6830  0.027275  0.5619E-04
  40   -62.00     -55.727 0.4268   0.1079E+00  0.8290E-03 -0.5165E-01  0.0000E+00  -1   0     16.6215  0.026386  0.4535E-04
  39   -64.00     -54.713 0.4277   0.1126E+00  0.8428E-03 -0.5695E-01  0.0000E+00  -1   0     16.5622  0.025461  0.3661E-04
  38   -66.00     -53.751 0.4285   0.1170E+00  0.8558E-03 -0.6209E-01  0.0000E+00  -1   0     16.5050  0.024531  0.2956E-04
  37   -68.00     -52.836 0.4293   0.1212E+00  0.8682E-03 -0.6708E-01  0.0000E+00  -1   0     16.4496  0.023621  0.2387E-04
  36   -70.00     -51.964 0.4301   0.1252E+00  0.8800E-03 -0.7194E-01  0.0000E+00  -1   0     16.3959  0.022753  0.1927E-04
  35   -72.00     -51.134 0.4308   0.1290E+00  0.8912E-03 -0.7668E-01  0.0000E+00  -1   0     16.3438  0.021944  0.1556E-04
  34   -74.00     -50.342 0.4315   0.1327E+00  0.9019E-03 -0.8130E-01  0.0000E+00  -1   0     16.2932  0.021205  0.1257E-04
  33   -76.00     -49.585 0.4322   0.1362E+00  0.9122E-03 -0.8581E-01  0.0000E+00  -1   0     16.2441  0.020544  0.1015E-04
  32   -78.00     -48.863 0.4328   0.1395E+00  0.9220E-03 -0.9021E-01  0.0000E+00  -1   0     16.1965  0.019964  0.8200E-05
  31   -80.00     -48.172 0.4334   0.1427E+00  0.9313E-03 -0.9451E-01  0.0000E+00  -1   0     16.1503  0.019465  0.6624E-05
  30   -82.00     -47.513 0.4340   0.1457E+00  0.9402E-03 -0.9871E-01  0.0000E+00  -1   0     16.1057  0.019043  0.5351E-05
  29   -84.00     -46.882 0.4345   0.1486E+00  0.9488E-03 -0.1028E+00  0.0000E+00  -1   0     16.0625  0.018693  0.4323E-05
  28   -86.00     -46.278 0.4350   0.1520E+00  0.9577E-03 -0.1072E+00  0.0000E+00  -1   0     16.0208  0.018408  0.3493E-05
  27   -88.00     -45.697 0.4357   0.1571E+00  0.9685E-03 -0.1120E+00  0.0000E+00  -1   0     15.9807  0.018179  0.2823E-05
  26   -90.00     -45.130 0.4362   0.1620E+00  0.9792E-03 -0.1167E+00  0.0000E+00  -1   0     15.9421  0.017999  0.2281E-05
  25   -92.00     -44.579 0.4368   0.1669E+00  0.9895E-03 -0.1215E+00  0.0000E+00  -1   0     15.9052  0.017862  0.1844E-05
  24   -94.00     -44.042 0.4374   0.1716E+00  0.9995E-03 -0.1262E+00  0.0000E+00  -1   0     15.8698  0.017759  0.1490E-05
  23   -96.00     -43.520 0.4379   0.1762E+00  0.1009E-02 -0.1308E+00  0.0000E+00  -1   0     15.8359  0.017685  0.1205E-05
  22   -98.00     -43.013 0.4384   0.1806E+00  0.1019E-02 -0.1366E+00  0.0000E+00  -1   0     15.8036  0.017633  0.9742E-06
