 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1982                                        
 Date:  21. 3.    Time:  15:17:45
 Units: L = cm   , T = days , M = mmol 


 Time:       0.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  76   -20.00     -81.555 0.3355   0.7945E-01  0.8750E-03 -0.1210E-01  0.0000E+00  -1   0      7.9448  0.010486  0.1893E-02
  75   -21.00     -80.696 0.3362   0.8126E-01  0.8841E-03 -0.1084E-01  0.0000E+00  -1   0      7.9209  0.010620  0.1691E-02
  74   -22.00     -79.822 0.3369   0.8309E-01  0.8933E-03 -0.1012E-01  0.0000E+00  -1   0      7.8876  0.010743  0.1510E-02
  73   -23.00     -78.940 0.3377   0.8495E-01  0.9027E-03 -0.9864E-02  0.0000E+00  -1   0      7.8467  0.010857  0.1349E-02
  72   -24.00     -78.054 0.3384   0.8681E-01  0.9120E-03 -0.1002E-01  0.0000E+00  -1   0      7.7995  0.010961  0.1206E-02
  71   -25.00     -77.171 0.3392   0.8867E-01  0.9214E-03 -0.1052E-01  0.0000E+00  -1   0      7.7475  0.011058  0.1077E-02
  70   -26.00     -76.292 0.3399   0.9052E-01  0.9307E-03 -0.1133E-01  0.0000E+00  -1   0      7.6917  0.011146  0.9628E-03
  69   -27.00     -75.421 0.3407   0.9235E-01  0.9399E-03 -0.1239E-01  0.0000E+00  -1   0      7.6333  0.011227  0.8608E-03
  68   -28.00     -74.572 0.3817   0.7882E-01  0.8482E-03 -0.1360E-01  0.0000E+00  -1   0      7.5745  0.011320  0.7699E-03
  67   -29.00     -73.751 0.3824   0.8047E-01  0.8563E-03 -0.1512E-01  0.0000E+00  -1   0      7.5160  0.011432  0.6889E-03
  66   -30.00     -72.947 0.3832   0.8328E-01  0.8672E-03 -0.1701E-01  0.0000E+00  -1   0      7.4571  0.011534  0.6166E-03
  65   -31.00     -72.159 0.3839   0.8604E-01  0.8778E-03 -0.1906E-01  0.0000E+00  -1   0      7.3982  0.011623  0.5520E-03
  64   -32.00     -71.389 0.3847   0.8873E-01  0.8882E-03 -0.2124E-01  0.0000E+00  -1   0      7.3397  0.011700  0.4944E-03
  63   -33.00     -70.638 0.3854   0.9136E-01  0.8984E-03 -0.2352E-01  0.0000E+00  -1   0      7.2821  0.011766  0.4429E-03
  62   -34.00     -69.904 0.3861   0.9392E-01  0.9083E-03 -0.2588E-01  0.0000E+00  -1   0      7.2254  0.011818  0.3968E-03
  61   -35.00     -69.189 0.3867   0.9642E-01  0.9179E-03 -0.2830E-01  0.0000E+00  -1   0      7.1699  0.011858  0.3557E-03
  60   -36.00     -68.491 0.3874   0.9886E-01  0.9274E-03 -0.3077E-01  0.0000E+00  -1   0      7.1157  0.011885  0.3188E-03
  59   -37.00     -67.864 0.4177   0.7292E-01  0.7024E-03 -0.3295E-01  0.0000E+00  -1   0      7.0637  0.011905  0.2859E-03
  58   -38.00     -67.325 0.4181   0.7419E-01  0.7075E-03 -0.3484E-01  0.0000E+00  -1   0      7.0138  0.011907  0.2564E-03
  57   -39.00     -66.803 0.4185   0.7542E-01  0.7125E-03 -0.3673E-01  0.0000E+00  -1   0      6.9653  0.011871  0.2300E-03
  56   -40.00     -66.299 0.4188   0.7661E-01  0.7173E-03 -0.3863E-01  0.0000E+00  -1   0      6.9181  0.011798  0.2064E-03
  55   -41.00     -65.812 0.4192   0.7776E-01  0.7219E-03 -0.4053E-01  0.0000E+00  -1   0      6.8721  0.011689  0.1852E-03
  54   -42.00     -65.341 0.4195   0.7887E-01  0.7264E-03 -0.4242E-01  0.0000E+00  -1   0      6.8274  0.011545  0.1662E-03
  53   -43.00     -64.887 0.4198   0.7994E-01  0.7307E-03 -0.4429E-01  0.0000E+00  -1   0      6.7837  0.011370  0.1492E-03
  52   -44.00     -64.449 0.4202   0.8097E-01  0.7348E-03 -0.4616E-01  0.0000E+00  -1   0      6.7411  0.011166  0.1339E-03
  51   -45.00     -64.027 0.4205   0.8196E-01  0.7388E-03 -0.4800E-01  0.0000E+00  -1   0      6.6994  0.010936  0.1202E-03
  50   -46.00     -63.621 0.4207   0.8292E-01  0.7427E-03 -0.4982E-01  0.0000E+00  -1   0      6.6585  0.010684  0.1079E-03
  49   -47.00     -63.229 0.4210   0.8385E-01  0.7464E-03 -0.5162E-01  0.0000E+00  -1   0      6.6183  0.010411  0.9684E-04
  48   -48.00     -62.852 0.4213   0.8473E-01  0.7500E-03 -0.5340E-01  0.0000E+00  -1   0      6.5787  0.010123  0.8693E-04
  47   -49.00     -62.489 0.4216   0.8559E-01  0.7534E-03 -0.5558E-01  0.0000E+00  -1   0      6.5396  0.009820  0.7804E-04
  46   -50.50     -61.972 0.4219   0.8681E-01  0.7583E-03 -0.5773E-01  0.0000E+00  -1   0      6.4817  0.009347  0.6638E-04
  45   -52.00     -61.485 0.4223   0.8796E-01  0.7629E-03 -0.6066E-01  0.0000E+00  -1   0      6.4246  0.008859  0.5646E-04
  44   -54.00     -60.881 0.4227   0.8938E-01  0.7686E-03 -0.6349E-01  0.0000E+00  -1   0      6.3490  0.008197  0.4550E-04
  43   -56.00     -60.327 0.4231   0.9069E-01  0.7739E-03 -0.6663E-01  0.0000E+00  -1   0      6.2739  0.007539  0.3666E-04
  42   -58.00     -59.820 0.4235   0.9188E-01  0.7787E-03 -0.6964E-01  0.0000E+00  -1   0      6.1987  0.006897  0.2954E-04
  41   -60.00     -59.359 0.4238   0.9297E-01  0.7831E-03 -0.7253E-01  0.0000E+00  -1   0      6.1234  0.006281  0.2380E-04
  40   -62.00     -58.941 0.4241   0.9395E-01  0.7870E-03 -0.7529E-01  0.0000E+00  -1   0      6.0478  0.005699  0.1917E-04
  39   -64.00     -58.565 0.4244   0.9485E-01  0.7906E-03 -0.7819E-01  0.0000E+00  -1   0      5.9718  0.005154  0.1544E-04
  38   -66.00     -58.233 0.4246   0.9637E-01  0.7951E-03 -0.8124E-01  0.0000E+00  -1   0      5.8954  0.004651  0.1243E-04
  37   -68.00     -57.938 0.4249   0.9773E-01  0.7991E-03 -0.8417E-01  0.0000E+00  -1   0      5.8188  0.004190  0.1001E-04
  36   -70.00     -57.680 0.4251   0.9892E-01  0.8026E-03 -0.8696E-01  0.0000E+00  -1   0      5.7421  0.003770  0.8064E-05
  35   -72.00     -57.456 0.4253   0.9995E-01  0.8056E-03 -0.8963E-01  0.0000E+00  -1   0      5.6653  0.003391  0.6493E-05
  34   -74.00     -57.268 0.4255   0.1008E+00  0.8082E-03 -0.9216E-01  0.0000E+00  -1   0      5.5887  0.003049  0.5229E-05
  33   -76.00     -57.114 0.4256   0.1015E+00  0.8103E-03 -0.9455E-01  0.0000E+00  -1   0      5.5123  0.002744  0.4210E-05
  32   -78.00     -56.994 0.4257   0.1021E+00  0.8119E-03 -0.9681E-01  0.0000E+00  -1   0      5.4364  0.002472  0.3391E-05
