 ******* Program HYDRUS
 ******* Solute transport with nonlinear cation adsorption                      
  
 Date:   8. 7.    Time:  19:20:18
 Units: L = cm   , T = days , M = mmol 



                             Node(  1)                                 Node( 11)                                 Node( 21)                                 Node( 31)                                 Node( 44)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
        13.613        .000   .6330   20.000   .963E+01          .000   .6330   20.000   .923E+01          .000   .6330   20.000   .871E+01          .000   .6330   20.000   .818E+01          .000   .6330   20.000   .781E+01
        13.806        .000   .6330   20.000   .964E+01          .000   .6330   20.000   .925E+01          .000   .6330   20.000   .874E+01          .000   .6330   20.000   .821E+01          .000   .6330   20.000   .785E+01
        14.000        .000   .6330   20.000   .965E+01          .000   .6330   20.000   .926E+01          .000   .6330   20.000   .877E+01          .000   .6330   20.000   .825E+01          .000   .6330   20.000   .790E+01
        14.250        .000   .6330   20.000   .966E+01          .000   .6330   20.000   .929E+01          .000   .6330   20.000   .880E+01          .000   .6330   20.000   .830E+01          .000   .6330   20.000   .795E+01
        14.500        .000   .6330   20.000   .967E+01          .000   .6330   20.000   .931E+01          .000   .6330   20.000   .884E+01          .000   .6330   20.000   .835E+01          .000   .6330   20.000   .801E+01
        14.700        .000   .6330   20.000   .968E+01          .000   .6330   20.000   .932E+01          .000   .6330   20.000   .886E+01          .000   .6330   20.000   .839E+01          .000   .6330   20.000   .805E+01
        15.000        .000   .6330   20.000   .607E+01          .000   .6330   20.000   .930E+01          .000   .6330   20.000   .890E+01          .000   .6330   20.000   .844E+01          .000   .6330   20.000   .811E+01
        15.250        .000   .6330   20.000   .642E+01          .000   .6330   20.000   .912E+01          .000   .6330   20.000   .893E+01          .000   .6330   20.000   .848E+01          .000   .6330   20.000   .816E+01
        15.500        .000   .6330   20.000   .488E+01          .000   .6330   20.000   .875E+01          .000   .6330   20.000   .894E+01          .000   .6330   20.000   .852E+01          .000   .6330   20.000   .821E+01
        15.741        .000   .6330   20.000   .510E+01          .000   .6330   20.000   .832E+01          .000   .6330   20.000   .892E+01          .000   .6330   20.000   .856E+01          .000   .6330   20.000   .826E+01
        15.956        .000   .6330   20.000   .410E+01          .000   .6330   20.000   .793E+01          .000   .6330   20.000   .887E+01          .000   .6330   20.000   .859E+01          .000   .6330   20.000   .830E+01
        16.078        .000   .6330   20.000   .440E+01          .000   .6330   20.000   .770E+01          .000   .6330   20.000   .883E+01          .000   .6330   20.000   .860E+01          .000   .6330   20.000   .832E+01
        16.200        .000   .6330   20.000   .383E+01          .000   .6330   20.000   .747E+01          .000   .6330   20.000   .877E+01          .000   .6330   20.000   .862E+01          .000   .6330   20.000   .834E+01
        16.388        .000   .6330   20.000   .389E+01          .000   .6330   20.000   .712E+01          .000   .6330   20.000   .866E+01          .000   .6330   20.000   .863E+01          .000   .6330   20.000   .838E+01
        16.566        .000   .6330   20.000   .337E+01          .000   .6330   20.000   .681E+01          .000   .6330   20.000   .854E+01          .000   .6330   20.000   .863E+01          .000   .6330   20.000   .840E+01
        16.711        .000   .6330   20.000   .346E+01          .000   .6330   20.000   .655E+01          .000   .6330   20.000   .842E+01          .000   .6330   20.000   .863E+01          .000   .6330   20.000   .843E+01
        16.855        .000   .6330   20.000   .307E+01          .000   .6330   20.000   .631E+01          .000   .6330   20.000   .829E+01          .000   .6330   20.000   .862E+01          .000   .6330   20.000   .845E+01
