

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 
   335.33301   .167804E+00   .000000E+00  -.249330E+00   .000000E+00  -.832432E-03   -456.296       .000  -1085.587     177
   335.37500   .170190E+00   .000000E+00  -.246911E+00   .000000E+00  -.836958E-03   -478.395       .000  -1086.216     178
   335.39999   .174962E+00   .000000E+00  -.242026E+00   .000000E+00  -.839638E-03   -553.800       .000  -1086.604     179
   335.41699   .430641E-01   .000000E+00  -.373904E+00   .000000E+00  -.841451E-03    -84.846       .000  -1086.848     180
   335.42499  -.186491E-01   .000000E+00  -.435530E+00   .000000E+00  -.842306E-03    -70.769       .000  -1086.968     181
   335.45801  -.581727E-02   .000000E+00  -.422166E+00   .000000E+00  -.845818E-03   -178.168       .000  -1087.448     182
   335.50000   .188209E-01   .000000E+00  -.397177E+00   .000000E+00  -.850266E-03   -281.054       .000  -1087.967     183
   335.54199   .427000E-01   .000000E+00  -.373145E+00   .000000E+00  -.854689E-03   -385.892       .000  -1088.321     184
   335.58301   .627774E-01   .000000E+00  -.353016E+00   .000000E+00  -.859000E-03   -491.066       .000  -1088.466     185
   335.62500   .800777E-01   .000000E+00  -.335853E+00   .000000E+00  -.863421E-03   -597.522       .000  -1088.395     186
   335.66699   .892680E-01   .000000E+00  -.326777E+00   .000000E+00  -.867849E-03   -564.597       .000  -1088.121     187
   335.70801   .934055E-01   .000000E+00  -.322679E+00   .000000E+00  -.872193E-03   -519.681       .000  -1087.697     188
   335.75000   .966404E-01   .000000E+00  -.319462E+00   .000000E+00  -.876665E-03   -507.730       .000  -1087.171     189
   335.79199   .999730E-01   .000000E+00  -.316148E+00   .000000E+00  -.881162E-03   -513.076       .000  -1086.628     190
   335.83301   .103606E+00   .000000E+00  -.312534E+00   .000000E+00  -.885574E-03   -528.100       .000  -1086.151     191
   335.87500   .106941E+00   .000000E+00  -.309214E+00   .000000E+00  -.890116E-03   -535.832       .000  -1085.764     192
   335.91699   .109138E+00   .000000E+00  -.307027E+00   .000000E+00  -.894670E-03   -527.352       .000  -1085.508     193
   335.95801   .111353E+00   .000000E+00  -.304820E+00   .000000E+00  -.899122E-03   -534.769       .000  -1085.389     194
   336.00000   .113843E+00   .000000E+00  -.302339E+00   .000000E+00  -.903684E-03   -544.982       .000  -1085.396     195
   336.04199   .115851E+00   .000000E+00  -.300339E+00   .000000E+00  -.908239E-03   -545.512       .000  -1085.522     196
   336.08301   .116981E+00   .000000E+00  -.299212E+00   .000000E+00  -.912681E-03   -534.895       .000  -1085.744     197
   336.12500   .117875E+00   .000000E+00  -.298321E+00   .000000E+00  -.917211E-03   -529.408       .000  -1086.062     198
   336.16699   .118800E+00   .000000E+00  -.297398E+00   .000000E+00  -.921732E-03   -529.068       .000  -1086.459     199
   336.20801   .120118E+00   .000000E+00  -.296083E+00   .000000E+00  -.926122E-03   -539.061       .000  -1086.912     200
   336.25000   .121055E+00   .000000E+00  -.295148E+00   .000000E+00  -.930597E-03   -535.102       .000  -1087.437     201
   336.29199   .121924E+00   .000000E+00  -.294279E+00   .000000E+00  -.935040E-03   -536.410       .000  -1088.010     202
   336.33301   .122753E+00   .000000E+00  -.293442E+00   .000000E+00  -.939362E-03   -536.715       .000  -1088.611     203
   336.37500   .124763E+00   .000000E+00  -.291400E+00   .000000E+00  -.943750E-03   -566.538       .000  -1089.256     204
   336.41699   .135669E+00   .000000E+00  -.280375E+00   .000000E+00  -.948109E-03   -836.418       .000  -1089.928     205
   336.45801   .151690E+00   .000000E+00  -.264225E+00   .000000E+00  -.952340E-03  -1430.180       .000  -1090.557     206
   336.50000   .168800E+00   .000000E+00  -.247002E+00   .000000E+00  -.956643E-03  -2456.343       .000  -1091.117     207
   336.54199   .184562E+00   .000000E+00  -.231229E+00   .000000E+00  -.960926E-03  -3989.090       .000  -1091.525     208
   336.58301   .198226E+00   .000000E+00  -.217601E+00   .000000E+00  -.965093E-03  -6013.731       .000  -1091.742     209
   336.62500   .208929E+00   .000000E+00  -.207037E+00   .000000E+00  -.969355E-03  -7252.319       .000  -1091.766     210
   336.66699   .214848E+00   .000000E+00  -.201248E+00   .000000E+00  -.973623E-03  -5967.464       .000  -1091.599     211
   336.70801   .217117E+00   .000000E+00  -.199043E+00   .000000E+00  -.977806E-03  -4138.731       .000  -1091.284     212
   336.75000   .218738E+00   .000000E+00  -.197439E+00   .000000E+00  -.982108E-03  -3217.750       .000  -1090.866     213
   336.79199   .220044E+00   .000000E+00  -.196145E+00   .000000E+00  -.986432E-03  -2670.306       .000  -1090.421     214
   336.83301   .221218E+00   .000000E+00  -.194979E+00   .000000E+00  -.990670E-03  -2327.905       .000  -1090.025     215
   336.87500   .222557E+00   .000000E+00  -.193648E+00   .000000E+00  -.995031E-03  -2116.733       .000  -1089.706     216
   336.91699   .223932E+00   .000000E+00  -.192284E+00   .000000E+00  -.999400E-03  -1975.965       .000  -1089.498     217
   336.95801   .225617E+00   .000000E+00  -.190606E+00   .000000E+00  -.100368E-02  -1938.522       .000  -1089.407     218
